model	mode	repo	cache	resolved	unresolved	empty	submitted
GOLD-PATCH	calibration	gold	-	5	3	0	8
GOLD-PATCH	calibration	pylint	-	10	0	0	10
GOLD-PATCH	calibration	pytest	-	19	0	0	19
qwen3-coder-30b-a3b	oracle	pylint-dev-pylint	f16	1	7	2	10
qwen3.6-27b	oracle	pylint-dev-pylint	f16	2	6	2	10
ornith-35b	oracle	pytest-dev-pytest	q8_0	8	6	5	19
qwen3.6-27b	oracle	pytest-dev-pytest	f16	9	8	2	19
qwen3.6-35b-a3b	oracle	pytest-dev-pytest	q8_0	9	7	3	19
qwen3-coder-30b-a3b	oracle	pytest-dev-pytest	f16	7	10	2	19
qwen3-coder-30b-a3b	repomap	astropy-astropy	q8_0	4	11	7	22
qwen3.6-27b	repomap	astropy-astropy	q8_0	8	12	2	22
qwen3-coder-30b-a3b	repomap	psf-requests	q8_0	3	3	1	8
qwen3.6-27b	repomap	psf-requests	q8_0	2	3	2	8
qwen3-coder-30b-a3b	repomap	pydata-xarray	q8_0	2	3	17	22
qwen3.6-27b	repomap	pydata-xarray	q8_0	10	5	7	22
ornith-35b	repomap	pylint-dev-pylint	q8_0	1	3	6	10
qwen3-coder-30b-a3b	repomap	pylint-dev-pylint	f16	0	3	7	10
qwen3.6-27b	repomap	pylint-dev-pylint	f16	1	7	2	10
qwen3.6-35b-a3b	repomap	pylint-dev-pylint	q8_0	1	5	4	10
qwopus3.6-35b-a3b	repomap	pylint-dev-pylint	q8_0	1	0	9	10
ornith-35b	repomap	pytest-dev-pytest	q8_0	8	3	8	19
qwen3-coder-30b-a3b	repomap	pytest-dev-pytest	f16	2	9	8	19
qwen3.6-27b-x8	repomap	pytest-dev-pytest	q8_0	8	7	4	19
qwen3.6-27b	repomap	pytest-dev-pytest	f16	10	6	3	19
qwen3.6-27b	repomap	pytest-dev-pytest	q8_0	10	6	3	19
qwen3.6-35b-a3b	repomap	pytest-dev-pytest	q8_0	7	5	7	19
qwopus3.6-35b-a3b	repomap	pytest-dev-pytest	q8_0	7	3	9	19
nanbeige-4.2-3b	repomap	pytest-dev-pytest	q8_0	4	6	9	19
