model	lang	prompt_lang	harness	n	correct	accuracy	tokens_total	seconds
ling-3.0-tiny	deu_Latn	deu_Latn	logprob	150	129	0.86	150	21.2
ling-3.0-tiny	deu_Latn	deu_Latn	generate	150	125	0.8333	4292	42.8
ling-3.0-tiny	eng_Latn	eng_Latn	logprob	150	137	0.9133	150	23.9
ling-3.0-tiny	eng_Latn	eng_Latn	generate	150	137	0.9133	784	22.1
ling-3.0-tiny	fra_Latn	fra_Latn	logprob	150	128	0.8533	150	20.0
ling-3.0-tiny	fra_Latn	fra_Latn	generate	150	128	0.8533	13702	91.4
ling-3.0-tiny	spa_Latn	spa_Latn	logprob	150	124	0.8267	150	20.0
ling-3.0-tiny	spa_Latn	spa_Latn	generate	150	130	0.8667	22019	135.8
qwen3.5-9b	deu_Latn	deu_Latn	logprob	150	131	0.8733	150	34.8
qwen3.5-9b	deu_Latn	deu_Latn	generate	150	134	0.8933	932	44.3
qwen3.5-9b	eng_Latn	eng_Latn	logprob	150	139	0.9267	150	32.5
qwen3.5-9b	eng_Latn	eng_Latn	generate	150	142	0.9467	7593	110.4
qwen3.5-9b	fra_Latn	fra_Latn	logprob	150	133	0.8867	150	36.0
qwen3.5-9b	fra_Latn	fra_Latn	generate	150	132	0.88	750	43.1
qwen3.5-9b	spa_Latn	spa_Latn	logprob	150	134	0.8933	150	35.2
qwen3.5-9b	spa_Latn	spa_Latn	generate	150	135	0.9	750	42.1
granite-4.2-30b	deu_Latn	deu_Latn	logprob	150	125	0.8333	150	59.2
granite-4.2-30b	deu_Latn	deu_Latn	generate	150	136	0.9067	1242	91.6
granite-4.2-30b	eng_Latn	eng_Latn	logprob	150	141	0.94	150	47.3
granite-4.2-30b	eng_Latn	eng_Latn	generate	150	144	0.96	20018	595.1
granite-4.2-30b	fra_Latn	fra_Latn	logprob	150	124	0.8267	150	63.0
granite-4.2-30b	fra_Latn	fra_Latn	generate	150	140	0.9333	1813	110.8
granite-4.2-30b	spa_Latn	spa_Latn	logprob	150	131	0.8733	150	58.6
granite-4.2-30b	spa_Latn	spa_Latn	generate	150	137	0.9133	2234	121.1
gemma-4-31b	deu_Latn	deu_Latn	logprob	150	142	0.9467	150	120.1
gemma-4-31b	deu_Latn	deu_Latn	generate	150	144	0.96	10737	448.7
gemma-4-31b	eng_Latn	eng_Latn	logprob	150	143	0.9533	150	99.7
gemma-4-31b	eng_Latn	eng_Latn	generate	150	145	0.9667	10398	827.9
gemma-4-31b	fra_Latn	fra_Latn	logprob	150	142	0.9467	150	137.7
gemma-4-31b	fra_Latn	fra_Latn	generate	150	143	0.9533	12200	504.4
gemma-4-31b	spa_Latn	spa_Latn	logprob	150	142	0.9467	150	117.3
gemma-4-31b	spa_Latn	spa_Latn	generate	150	143	0.9533	12794	513.1
qwen3.5-35b-a3b	deu_Latn	deu_Latn	logprob	150	141	0.94	150	45.5
qwen3.5-35b-a3b	deu_Latn	deu_Latn	generate	150	142	0.9467	27326	264.3
qwen3.5-35b-a3b	eng_Latn	eng_Latn	logprob	150	146	0.9733	150	41.3
qwen3.5-35b-a3b	eng_Latn	eng_Latn	generate	150	143	0.9533	30931	292.3
qwen3.5-35b-a3b	fra_Latn	fra_Latn	logprob	150	142	0.9467	150	44.8
qwen3.5-35b-a3b	fra_Latn	fra_Latn	generate	150	143	0.9533	30873	292.8
qwen3.5-35b-a3b	spa_Latn	spa_Latn	logprob	150	142	0.9467	150	43.3
qwen3.5-35b-a3b	spa_Latn	spa_Latn	generate	150	141	0.94	28280	271.8
nemotron-3.5-lightning-30b-a3b	deu_Latn	deu_Latn	logprob	150	138	0.92	150	51.9
nemotron-3.5-lightning-30b-a3b	deu_Latn	deu_Latn	generate	150	139	0.9267	751	52.9
nemotron-3.5-lightning-30b-a3b	eng_Latn	eng_Latn	logprob	150	143	0.9533	150	44.9
nemotron-3.5-lightning-30b-a3b	eng_Latn	eng_Latn	generate	150	141	0.94	611	50.4
nemotron-3.5-lightning-30b-a3b	fra_Latn	fra_Latn	logprob	150	136	0.9067	150	47.4
nemotron-3.5-lightning-30b-a3b	fra_Latn	fra_Latn	generate	150	137	0.9133	750	81.5
nemotron-3.5-lightning-30b-a3b	spa_Latn	spa_Latn	logprob	150	135	0.9	150	62.2
nemotron-3.5-lightning-30b-a3b	spa_Latn	spa_Latn	generate	150	136	0.9067	750	53.9
ornith-35b	deu_Latn	deu_Latn	logprob	150	143	0.9533	150	45.7
ornith-35b	deu_Latn	deu_Latn	generate	150	143	0.9533	38118	353.6
ornith-35b	eng_Latn	eng_Latn	logprob	150	144	0.96	150	44.5
ornith-35b	eng_Latn	eng_Latn	generate	150	144	0.96	37470	341.6
ornith-35b	fra_Latn	fra_Latn	logprob	150	145	0.9667	150	47.0
ornith-35b	fra_Latn	fra_Latn	generate	150	143	0.9533	34855	321.2
ornith-35b	spa_Latn	spa_Latn	logprob	150	139	0.9267	150	45.8
ornith-35b	spa_Latn	spa_Latn	generate	150	143	0.9533	37085	339.3
qwen3.5-9b	deu_Latn	eng_Latn	logprob	150	128	0.8533	150	34.4
qwen3.5-9b	deu_Latn	eng_Latn	generate	150	134	0.8933	5317	89.5
qwen3.5-9b	eng_Latn	deu_Latn	logprob	150	143	0.9533	150	33.3
qwen3.5-9b	eng_Latn	deu_Latn	generate	150	145	0.9667	21090	252.0
ornith-35b	deu_Latn	eng_Latn	logprob	150	142	0.9467	150	44.6
ornith-35b	deu_Latn	eng_Latn	generate	150	144	0.96	50836	462.8
ornith-35b	eng_Latn	deu_Latn	logprob	150	145	0.9667	150	41.2
ornith-35b	eng_Latn	deu_Latn	generate	150	146	0.9733	35236	327.4
