model	phase	size_gib	tokens	reps	t_per_s	compute_s	mean_watt_chip	mwh	tokens_per_wh	samples
llama-3.2-3b	erzeugung	1.87	2560	5	251.5	10.2	267.3	774.9	3304	11
gpt-oss-20b	erzeugung	11.27	2560	5	210.8	12.1	272.2	938.2	2729	13
qwen3-30b-a3b	erzeugung	17.28	2560	5	190.2	13.5	278.1	1023.7	2501	14
qwen3-coder-30b-a3b	erzeugung	17.28	2560	5	183.2	14.1	255.5	1024.7	2498	15
nanbeige-4.2-3b	erzeugung	2.50	2560	5	130.0	19.7	277.1	1502.3	1704	20
qwen3.5-9b	erzeugung	5.28	2560	5	108.1	23.7	280.2	1827.1	1401	24
deepseek-r1-14b	erzeugung	8.37	2560	5	77.3	33.1	290.5	2592.7	987	33
gemma-4-12b	erzeugung	6.62	2560	5	76.9	33.3	284.8	2641.3	969	34
qwen3.6-27b	erzeugung	15.65	2560	5	38.3	66.9	288.7	5327.1	481	67
llama-3.2-3b	prefill	1.87	20480	5	6126.5	3.3	227.8	205.5	99668	4
gpt-oss-20b	prefill	11.27	20480	5	3658.9	5.6	285.7	399.7	51235	6
qwen3-coder-30b-a3b	prefill	17.28	20480	5	2609.6	7.8	272.2	548.3	37349	8
qwen3-30b-a3b	prefill	17.28	20480	5	2691.5	7.6	287.9	566.7	36138	8
nanbeige-4.2-3b	prefill	2.50	20480	5	2783.1	7.4	289.9	568.0	36056	8
qwen3.5-9b	prefill	5.28	20480	5	2680.4	7.6	290.2	568.4	36031	8
gemma-4-12b	prefill	6.62	20480	5	1666.0	12.3	290.3	974.2	21023	13
deepseek-r1-14b	prefill	8.37	20480	5	1493.1	13.7	290.4	1055.9	19395	14
qwen3.6-27b	prefill	15.65	20480	5	815.0	25.1	287.9	1938.7	10564	25
